area_type,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Basavanapura,7 BHK,1800,5,3,65
Plot  Area,Prasanna layout Herohalli,6 Bedroom,1800,5,1,140
Super built-up  Area,12th cross srinivas nagar banshankari 3rd stage,1 BHK,1800,1,1,200
Plot  Area,Sarjapur  Road,,1800,2.692609647,0,34.185
Plot  Area,Sarjapur  Road,,1800,2.692609647,0,28.785
Plot  Area,Mysore Road,,1800,2.692609647,0,42.3
Super built-up  Area,Hegde Nagar,3 BHK,1801,3,2,115
Super built-up  Area,Hegde Nagar,3 BHK,1801,3,2,140
Super built-up  Area,"EPIP AREA, WHITEFIELD",3 BHK,1801,3,2,139
Super built-up  Area,Thanisandra,3 BHK,1801,3,1,115
Super built-up  Area,Thanisandra,3 BHK,1801,3,2,115
Super built-up  Area,Kalena Agrahara,3 BHK,1804,3,2,120
Super built-up  Area,Hennur Road,3 BHK,1804,3,2,102
Super built-up  Area,Dodda Nekkundi,3 BHK,1804,3,2,121
Super built-up  Area,Hennur Road,3 BHK,1804,3,2,102
Super built-up  Area,Thanisandra main road,2 BHK,1804,2,1,285
Super built-up  Area,Talaghattapura,3 BHK,1804,3,1,115
Super built-up  Area,Kalena Agrahara,3 BHK,1804,3,2,166
Super built-up  Area,Kalena Agrahara,3 BHK,1804,3,2,175
Super built-up  Area,Sector 1 HSR Layout,3 BHK,1804,3,2,150
Super built-up  Area,Talaghattapura,3 BHK,1804,3,2,127
Super built-up  Area,Kalena Agrahara,3 BHK,1804,3,2,155
Super built-up  Area,Kaggadasapura,3 BHK,1805,2,2,75
Built-up  Area,Benson Town,3 BHK,1805,3,2,280
Built-up  Area,Billekahalli,3 BHK,1805,3,3,134
Plot  Area,Vijayanagar,6 Bedroom,1806,6,1,370
Built-up  Area,Whitefield,3 BHK,1806,3,3,85
Plot  Area,Gottigere,1 Bedroom,1806,1,1,150
Super built-up  Area,Thanisandra,3 BHK,1806,6,2,116
Plot  Area,Chikka Tirupathi,3 Bedroom,1808,4,2,80.27
Plot  Area,Whitefield,3 Bedroom,1808,4,0,80
Super built-up  Area,Haralur Road,3 BHK,1810,3,2,100
Super built-up  Area,Amblipura,3 BHK,1810,4,3,148
Super built-up  Area,Haralur Road,3 BHK,1810,3,2,126
Built-up  Area,Ganesha Block,3 BHK,1810,3,3,118
Built-up  Area,Mallasandra,4 BHK,1810,3,2,57
Super built-up  Area,Haralur Road,3 BHK,1810,3,2,100
Super built-up  Area,6th Phase JP Nagar,3 BHK,1810,3,3,131
Built-up  Area,EPIP Zone,2 BHK,1810,2,2,65
Super built-up  Area,Haralur Road,3 BHK,1810,3,2,97.83
Super built-up  Area,Haralur Road,3 BHK,1810,3,2,112
Super built-up  Area,Kannamangala,3 BHK,1814,3,1,129
Super built-up  Area,Sarjapur  Road,3 BHK,1814,3,3,63
Built-up  Area,Yelahanka,3 BHK,1815,3,2,82
Super built-up  Area,Jakkur,3 BHK,1816,3,1,119
Super built-up  Area,Hosakerehalli,3 BHK,1817,4,0,153
Built-up  Area,Ambalipura,3 BHK,1817,3,3,102
Super built-up  Area,Haralur Road,3 BHK,1817,3,2,110
Super built-up  Area,Hulimavu,3 BHK,1818,3,1,135
Super built-up  Area,Sarjapur  Road,3 BHK,1819,3,2,100
Super built-up  Area,Sarjapur  Road,3 BHK,1819,3,2,100
Super built-up  Area,Kasavanhalli,3 BHK,1819,3,1,150
Super built-up  Area,Jakkur,3 BHK,1819.18,3,1,160
Super built-up  Area,Jakkur,3 BHK,1819.18,3,2,168
Super built-up  Area,GM Palaya,3 BHK,1820,2,3,86
Super built-up  Area,Budigere,3 BHK,1820,3,2,93
Super built-up  Area,Kothanur,3 BHK,1820,3,3,77
Super built-up  Area,Budigere,3 BHK,1820,3,2,85.5
Super built-up  Area,Budigere,3 BHK,1820,3,2,93
Super built-up  Area,Budigere,3 BHK,1820,3,2,85.4
Super built-up  Area,Budigere,3 BHK,1820,3,2,89
Super built-up  Area,Kodigehalli,3 BHK,1820,3,2,150
Super built-up  Area,Budigere,3 BHK,1820,3,2,85
Super built-up  Area,Akshaya Nagar,3 BHK,1820,4,2,95
Super built-up  Area,Budigere,3 BHK,1820,3,2,85.2
Super built-up  Area,Nagappa Reddy Layout,3 BHK,1820,3,2,79.5
Super built-up  Area,Budigere,3 BHK,1820,3,2,99
Built-up  Area,Whitefield,3 BHK,1820,3,2,113
Super built-up  Area,Whitefield,3 BHK,1820,3,2,140
Super built-up  Area,Budigere,3 BHK,1820,3,2,85
Super built-up  Area,Budigere,3 BHK,1820,3,2,95
Built-up  Area,Budigere,3 BHK,1820,3,2,95.5
Built-up  Area,Hulimavu,3 BHK,1823,3,2,100
Super built-up  Area,Yelahanka,3 BHK,1823,3,2,103
Super built-up  Area,Mango Garden Layout,3 BHK,1824,3,3,125
Super built-up  Area,Thanisandra,3 BHK,1825,3,2,100
Super built-up  Area,Yelahanka,3 BHK,1825,3,1,105
Super built-up  Area,CV Raman Nagar,3 BHK,1825,3,2,126
Super built-up  Area,Basavangudi,3 BHK,1825,3,0,175
Super built-up  Area,Yeshwanthpur,3 BHK,1825,3,2,145
Super built-up  Area,Vijayanagar,3 BHK,1826,3,2,121
Super built-up  Area,Yeshwanthpur,3 BHK,1826,3,2,165
Super built-up  Area,Sarjapur  Road,3 BHK,1826,3,2,130
Super built-up  Area,Sarjapur  Road,3 BHK,1826,3,2,125
Super built-up  Area,Sarjapur  Road,3 BHK,1826,3,2,130
Super built-up  Area,Panduranga Nagar,3 BHK,1827,3,3,100
Super built-up  Area,KR Puram,3 BHK,1827,3,2,97
Super built-up  Area,Kothanur,3 BHK,1828,3,0,110
Super built-up  Area,Dodda Nekkundi,3 BHK,1829,3,2,125
Super built-up  Area,Seegehalli,3 BHK,1830,4,2,82
Super built-up  Area,Haralur Road,3 BHK,1830,3,2,101
Super built-up  Area,Thigalarapalya,3 BHK,1830,4,2,150
Super built-up  Area,Thigalarapalya,3 BHK,1830,4,2,135
Built-up  Area,Sarjapur,3 Bedroom,1830,3,1,88
Plot  Area,Chaitanya Ananya,4 Bedroom,1830,4,2,325
Built-up  Area,Sarjapur  Road,3 Bedroom,1830,3,1,119
Super built-up  Area,Bellandur,3 BHK,1830,3,0,90
Super built-up  Area,Thigalarapalya,3 BHK,1830,4,2,150
Super built-up  Area,Thigalarapalya,3 BHK,1830,3,2,133
Super built-up  Area,Bellandur,3 BHK,1830,3,3,89
Super built-up  Area,Hennur,3 BHK,1830,2,3,113
Super built-up  Area,Bellandur,3 BHK,1830,3,3,91.86
Super built-up  Area,Bellandur,3 BHK,1830,3,3,89.89
Super built-up  Area,Hennur,3 BHK,1830,3,3,121
Super built-up  Area,Crimson Layout,3 BHK,1830,3,2,95
Super built-up  Area,Hennur,3 BHK,1830.5,3,0,84.205
Built-up  Area,Hennur Road,3 BHK,1831,3,1,110
Super built-up  Area,Hennur Road,3 BHK,1832,3,1,125
Super built-up  Area,Hennur Road,3 BHK,1832,3,1,116
Super built-up  Area,HBR Layout,3 BHK,1832,3,2,160
Super built-up  Area,Koramangala,3 BHK,1835,2,3,155
Super built-up  Area,Hegde Nagar,3 BHK,1835,3,3,88
Super built-up  Area,Richmond Town,3 BHK,1835,3,3,175
Built-up  Area,CV Raman Nagar,3 BHK,1835,3,2,160
Super built-up  Area,Yelahanka,3 BHK,1835,3,1,108
Super built-up  Area,Hegde Nagar,3 BHK,1835,2,0,92
Super built-up  Area,Hegde Nagar,3 BHK,1835,3,3,88
Super built-up  Area,Hegde Nagar,3 BHK,1835,3,3,89
Super built-up  Area,Whitefield,3 BHK,1836,3,2,125
Super built-up  Area,CV Raman Nagar,3 BHK,1836,3,2,148
Super built-up  Area,Hoodi,3 BHK,1837,3,3,145
Super built-up  Area,Hoodi,3 BHK,1837,3,3,142
Super built-up  Area,Kalena Agrahara,3 BHK,1837,2,2,95
Super built-up  Area,Hoodi,3 BHK,1837,3,1,110
Super built-up  Area,Keshava Nagar,3 BHK,1839,3,3,165
Super built-up  Area,Keshava Nagar,3 BHK,1839,3,3,160
Super built-up  Area,Marathahalli,3 BHK,1839,3,2,130
Built-up  Area,Kothanur,3 Bedroom,1840,3,1,69
Super built-up  Area,Marathahalli,3 BHK,1840,3,3,98
Super built-up  Area,Sector 1 HSR Layout,3 BHK,1840,3,2,155
Super built-up  Area,Whitefield,3 BHK,1840,3,2,140
Super built-up  Area,Marasandra,3 BHK,1840,3,3,85
Built-up  Area,Sarakki Nagar,3 BHK,1840,4,1,175
Plot  Area,Kengeri Hobli,2 Bedroom,1840,1,0,95
Super built-up  Area,Badavala Nagar,3 BHK,1842,3,2,115
Super built-up  Area,Badavala Nagar,3 BHK,1842,3,2,115
Super built-up  Area,Badavala Nagar,3 BHK,1842,3,2,115
Super built-up  Area,Badavala Nagar,3 BHK,1842,3,2,115
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,95.84
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,92.15
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,95.84
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,82
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,85
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,88
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,96.2
Super built-up  Area,Anjanapura,3 BHK,1843,3,1,87.54
Built-up  Area,Kanakpura Road,3 BHK,1843,3,2,85
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,95
Built-up  Area,Kanakpura Road,3 BHK,1843,3,2,90
Super built-up  Area,Kanakpura Road,3 BHK,1843,3,2,96.2
Super built-up  Area,HSR Layout,3 BHK,1844,3,3,95
Super built-up  Area,HSR Layout,3 BHK,1844,3,1,89
Super built-up  Area,Sarjapur  Road,3 BHK,1845,4,1,110
Super built-up  Area,Uttarahalli,3 BHK,1845,2,1,68.27
Super built-up  Area,Murugeshpalya,3 BHK,1845,3,3,91
Plot  Area,8th block Koramangala,3 Bedroom,1846,3,2,300
Super built-up  Area,Sarjapur  Road,3 BHK,1846,3,2,140
Super built-up  Area,Sarjapur  Road,3 BHK,1846,3,3,145
Super built-up  Area,Sarjapur  Road,3 BHK,1846,3,2,155
Super built-up  Area,Bellandur,3 BHK,1846,3,2,135
Super built-up  Area,Bannerghatta Road,3 BHK,1846,3,2,120
Super built-up  Area,Kothanur,3 BHK,1847,3,2,105
Super built-up  Area,Thanisandra,3 BHK,1847,3,2,123
Super built-up  Area,Kothanur,3 BHK,1847,3,2,110
Super built-up  Area,Hegde Nagar,3 BHK,1847,3,2,135
Super built-up  Area,Hegde Nagar,3 BHK,1847,3,2,125
Super built-up  Area,Hegde Nagar,3 BHK,1847,3,2,123
Built-up  Area,Yelahanka,3 BHK,1847,3,3,92
Super built-up  Area,JP Nagar,3 BHK,1850,3,3,150
Built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,1,150
Super built-up  Area,Yeshwanthpur,3 BHK,1850,3,3,100
Built-up  Area,Anjanapura,4 BHK,1850,4,2,86
Super built-up  Area,Basavangudi,3 BHK,1850,3,1,168
Super built-up  Area,Hoodi,3 BHK,1850,3,2,146
Super built-up  Area,Ambedkar Nagar,3 BHK,1850,4,3,139
Built-up  Area,BTM 2nd Stage,3 BHK,1850,3,0,170
Super built-up  Area,Haralur Road,3 BHK,1850,3,0,110
Super built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,2,140
Super built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,2,150
Built-up  Area,Kacharakanahalli,3 BHK,1850,3,3,98
Plot  Area,Bannerghatta Road,6 Bedroom,1850,6,3,150
Super built-up  Area,Bommanahalli,3 BHK,1850,3,2,90
Super built-up  Area,Nagarbhavi,3 BHK,1850,3,2,88
Super built-up  Area,Nagarbhavi,3 BHK,1850,3,2,90
Super built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,1,150
Super built-up  Area,JP Nagar,3 BHK,1850,2,0,110
Super built-up  Area,Nagarbhavi,3 BHK,1850,2,2,88
Super built-up  Area,Nagarbhavi,3 BHK,1850,2,2,89
Built-up  Area,Sarjapur  Road,3 BHK,1850,3,3,140
Super built-up  Area,7th Phase JP Nagar,3 BHK,1850,3,2,155
Super built-up  Area,Whitefield,3 BHK,1850,3,2,150
Super built-up  Area,Ambedkar Nagar,3 BHK,1850,4,2,120
Plot  Area,Wilson Garden,8 Bedroom,1850,12,0,300
Built-up  Area,SK Garden,6 Bedroom,1850,3,0,175
Super built-up  Area,Kalkere,3 BHK,1850,3,3,95
Super built-up  Area,Haralur Road,3 BHK,1850,3,2,120
Super built-up  Area,Kudlu Gate,3 BHK,1850,3,2,120
Super built-up  Area,Basavangudi,3 BHK,1850,3,2,150
Super built-up  Area,Sarjapur  Road,3 BHK,1850,3,2,140
Super built-up  Area,Kudlu Gate,3 BHK,1850,3,2,110
Super built-up  Area,Domlur,3 BHK,1850,3,1,180
Super built-up  Area,Ambedkar Nagar,3 BHK,1850,4,2,121
Built-up  Area,Cooke Town,3 BHK,1850,3,3,110
Built-up  Area,Raja Rajeshwari Nagar,3 BHK,1850,3,1,98
Super built-up  Area,Sarjapur  Road,3 BHK,1850,3,2,89
Super built-up  Area,Yeshwanthpur,3 BHK,1852,3,2,160
Super built-up  Area,BTM 1st Stage,3 BHK,1852,2,0,95
Super built-up  Area,Ambedkar Nagar,3 BHK,1852,3,2,130
Super built-up  Area,Ambedkar Nagar,3 BHK,1852,4,2,122
Super built-up  Area,Ambedkar Nagar,3 BHK,1852,3,2,125
Super built-up  Area,Kothannur,3 BHK,1853,3,2,82
Built-up  Area,"JP Nagar 8th Phase, ",3 BHK,1853,3,2,82
Super built-up  Area,Thanisandra,3 BHK,1853,3,1,64.86
Super built-up  Area,Dairy Circle,3 BHK,1855,3,1,225
Super built-up  Area,OMBR Layout,3 BHK,1855,3,2,145
Super built-up  Area,Yeshwanthpur,3 BHK,1855,3,3,140
Super built-up  Area,Yeshwanthpur,3 BHK,1855,3,3,140
Super built-up  Area,Murugeshpalya,3 BHK,1855,3,3,96
Super built-up  Area,Yeshwanthpur,3 BHK,1855,3,3,135
Super built-up  Area,Talaghattapura,3 BHK,1856,3,2,135
Super built-up  Area,Ambedkar Nagar,3 BHK,1856,3,1,120
Super built-up  Area,Talaghattapura,3 BHK,1856,3,2,135
Super built-up  Area,Talaghattapura,3 BHK,1856,3,2,135
Super built-up  Area,Yeshwanthpur,3 BHK,1856,4,2,180
Super built-up  Area,Rachenahalli,3 BHK,1856,3,3,106
Built-up  Area,Sarjapur  Road,3 BHK,1857,4,3,155
Super built-up  Area,Jakkur,3 BHK,1858,3,1,98.3
Built-up  Area,Old Airport Road,3 BHK,1858,2,1,167
Super built-up  Area,Jakkur,3 BHK,1858,3,1,123
Super built-up  Area,Yelahanka,3 BHK,1859,3,1,108
Super built-up  Area,Old Madras Road,3 BHK,1859,3,2,121
Super built-up  Area,Hebbal,3 BHK,1860,3,2,95
Super built-up  Area,Yeshwanthpur,3 BHK,1860,3,2,168
Super built-up  Area,EPIP Zone,3 BHK,1860,3,2,130
Super built-up  Area,Panathur,3 BHK,1861,3,3,92
Super built-up  Area,Ambedkar Nagar,3 BHK,1862,3,2,120
Super built-up  Area,Ambedkar Nagar,3 BHK,1862,3,2,119
Super built-up  Area,Whitefield,3 BHK,1862,3,2,125
Super built-up  Area,RMV Extension Stage 2,3 BHK,1862,3,3,120
Super built-up  Area,Sarjapur  Road,3 BHK,1862,4,1,110
Super built-up  Area,Sarjapur  Road,4 BHK,1863,3,2,104
Super built-up  Area,Kasavanhalli,4 BHK,1863,3,2,105
Super built-up  Area,Harlur,3 BHK,1864,3,1,140
Super built-up  Area,Sarjapur  Road,4 BHK,1864,3,2,105
Super built-up  Area,Dodda Nekkundi Extension,3 BHK,1864,3,3,115
Built-up  Area,Dodda Nekkundi Extension,3 BHK,1864,3,2,120
Built-up  Area,Basaveshwara Nagar,3 BHK,1865,3,3,145
Super built-up  Area,Jakkur,3 BHK,1865,3,1,124
Plot  Area,HAL 3rd Stage,3 Bedroom,1865,3,3,350
Super built-up  Area,Marenahalli,3 BHK,1865,4,2,140
Super built-up  Area,Kannamangala,3 BHK,1865,3,1,139
Super built-up  Area,Hennur Road,3 BHK,1866,2,2,61.58
Super built-up  Area,Koramangala,3 BHK,1866,4,2,245
Built-up  Area,Rajiv Nagar,3 BHK,1867,3,1,160
Super built-up  Area,Talaghattapura,3 BHK,1868,3,2,131
Super built-up  Area,Talaghattapura,3 BHK,1868,3,1,121
Super built-up  Area,Talaghattapura,3 BHK,1868,3,1,135
Super built-up  Area,Talaghattapura,3 BHK,1868,3,1,120
Super built-up  Area,Kanakpura Road,3 BHK,1868,3,2,113
Built-up  Area,Peenya,3 BHK,1870,3,3,110
Built-up  Area,Jalahalli,3 BHK,1870,3,0,110
Super built-up  Area,Frazer Town,3 BHK,1870,3,3,185
Super built-up  Area,Whitefield,3 BHK,1870,3,2,90
Built-up  Area,Kasavanhalli,3 Bedroom,1870,3,1,200
Super built-up  Area,Whitefield,3 BHK,1870,3,2,138
Super built-up  Area,Whitefield,3 BHK,1870,3,2,138
Super built-up  Area,Whitefield,3 BHK,1870,3,2,90
Super built-up  Area,Frazer Town,3 BHK,1870,3,3,180
Built-up  Area,"HSR Layout 7th sector, ",3 BHK,1872,3,2,152
Built-up  Area,Thanisandra,3 BHK,1874,4,1,130
Super built-up  Area,Ambedkar Colony,3 BHK,1875,3,2,165
Built-up  Area,Old Airport Road,3 BHK,1875,2,2,110
Built-up  Area,Kalasipalya,7 Bedroom,1875,2,2,300
Super built-up  Area,Haralur Road,3 BHK,1875,3,2,110
Super built-up  Area,Domlur,3 BHK,1875,2,2,150
Super built-up  Area,1st Phase JP Nagar,3 BHK,1875,3,1,167
Super built-up  Area,1st Block Jayanagar,3 BHK,1875,2,3,235
Super built-up  Area,Haralur Road,3 BHK,1875,3,3,110
Built-up  Area,Jayanagar,3 BHK,1875,2,3,235
Carpet  Area,Indira Nagar,3 BHK,1875,3,1,180
Built-up  Area,Doddathoguru,3 BHK,1875,3,1,55
Plot  Area,Kadugodi,3 Bedroom,1875,2,1,110
Plot  Area,Srirampura,7 Bedroom,1875,5,1,192
Super built-up  Area,Mahalakshmi Layout,3 BHK,1876,3,1,150
Super built-up  Area,Yeshwanthpur,3 BHK,1876,3,3,160
Super built-up  Area,Sarjapur  Road,3 BHK,1877,4,2,150
Super built-up  Area,Sarjapur  Road,3 BHK,1879,3,2,155
Super built-up  Area,Bannerghatta Road,3 BHK,1880,3,2,95
Super built-up  Area,Battarahalli,3 BHK,1880,3,2,94.36
Super built-up  Area,Thanisandra,3 BHK,1880,3,3,120
Super built-up  Area,Subramanyapura,3 BHK,1880,3,2,110
Built-up  Area,Hennur Road,4 Bedroom,1880,4,0,154
Super built-up  Area,Jakkur,3 BHK,1880,4,2,110
Super built-up  Area,Bannerghatta Road,3 BHK,1880,3,2,96.5
Super built-up  Area,Thanisandra,3 BHK,1881,3,0,95
Super built-up  Area,Sarjapur  Road,3 BHK,1881,3,2,145
Super built-up  Area,Sarjapur  Road,3 BHK,1881,3,2,145
Super built-up  Area,Jalahalli,3 BHK,1881,3,2,115
Super built-up  Area,Harlur,4 BHK,1884,4,2,120
Super built-up  Area,Akshaya Nagar,3 BHK,1884,3,3,98
Super built-up  Area,Hegde Nagar,3 BHK,1884,4,2,118
Built-up  Area,"Kanakapura Road, ",3 Bedroom,1884,3,2,95
Super built-up  Area,Thanisandra,3 BHK,1884,4,2,117
Super built-up  Area,Silver Springs Layout,3 BHK,1885,3,3,90
Super built-up  Area,Bannerghatta Road,3 BHK,1885,3,1,125
Super built-up  Area,Green Glen Layout,3 BHK,1885,3,2,135
Super built-up  Area,Thubarahalli,3 BHK,1885,3,2,85.52
Super built-up  Area,Banashankari,3 BHK,1886,3,2,205
Super built-up  Area,Sarjapur  Road,3 BHK,1888,4,1,95
Super built-up  Area,Kadugodi,3 BHK,1890,4,3,127
Built-up  Area,9th Phase JP Nagar,3 BHK,1890,2,2,85
Super built-up  Area,Hosur Road,3 BHK,1890,3,2,162
Super built-up  Area,Yelahanka,3 BHK,1890,3,2,108
Built-up  Area,9th Phase JP Nagar,3 BHK,1890,2,0,93
Super built-up  Area,Koramangala,3 BHK,1890,2,1,100
Super built-up  Area,Kadugodi,3 BHK,1890,4,3,125
Super built-up  Area,Akshaya Nagar,3 BHK,1890,4,2,100
Super built-up  Area,Kadugodi,3 BHK,1890,4,3,125
Built-up  Area,Yelahanka,3 BHK,1890,4,2,85
Super built-up  Area,Yelahanka,3 BHK,1890,3,2,109
Built-up  Area,Haralur Road,3 BHK,1890,3,2,84
Super built-up  Area,Hennur Road,3 BHK,1891,3,1,109
Super built-up  Area,Hennur Road,3 BHK,1891,3,1,139
Super built-up  Area,Hennur Road,3 BHK,1891,3,1,109
Super built-up  Area,Hennur Road,3 BHK,1891,3,1,110
Built-up  Area,Chandapura,4 Bedroom,1891,2.692609647,0,66.165
Plot  Area,Laxmi Sagar Layout,3 Bedroom,1892,3,2,200
Super built-up  Area,Lingadheeranahalli,3 BHK,1893,3,2,140
Super built-up  Area,Bannerghatta Road,3 BHK,1893,3,2,100
Super built-up  Area,Lingadheeranahalli,3 BHK,1893,3,1,130
Super built-up  Area,Dodsworth Layout,3 BHK,1893,3,2,115
Super built-up  Area,Akshaya Nagar,3 BHK,1893,4,2,95
Super built-up  Area,Hosa Road,3 BHK,1893,3,2,130
Super built-up  Area,Bannerghatta Road,3 BHK,1894,3,1,115
Super built-up  Area,Lingadheeranahalli,3 BHK,1894,4,1,114
Built-up  Area,Whitefield,3 BHK,1896,3,1,75
Super built-up  Area,Kasturi Nagar,4 BHK,1896,3,1,125
Super built-up  Area,Akshaya Nagar,3 BHK,1896,3,2,102
Built-up  Area,Whitefield,3 BHK,1897,3,2,130
Super built-up  Area,Akshaya Nagar,3 BHK,1897,3,2,120
Super built-up  Area,Akshaya Nagar,3 BHK,1897,4,2,93
Super built-up  Area,Hebbal,3 BHK,1900,3,2,119
Super built-up  Area,Chamrajpet,4 BHK,1900,2,1,170
Built-up  Area,Amruthahalli,3 Bedroom,1900,3,1,135
Super built-up  Area,Rustam Bagh Layout,3 BHK,1900,3,3,160
Super built-up  Area,Marathahalli,3 BHK,1900,3,3,123
Super built-up  Area,Banashankari,3 BHK,1900,2,1,170
Super built-up  Area,Malleshpalya,3 BHK,1900,3,2,60
Super built-up  Area,Kadugodi,3 BHK,1900,3,0,108
Built-up  Area,Koramangala,2 BHK,1900,2,1,200
Built-up  Area,Frazer Town,3 BHK,1900,4,2,145
Plot  Area,Kanakpura Road,3 Bedroom,1900,3,1,99
Super built-up  Area,Koramangala,3 BHK,1900,3,3,150
Super built-up  Area,Sanjay nagar,3 BHK,1900,2,2,180
Super built-up  Area,Near ullas theater,3 BHK,1900,3,2,205
Super built-up  Area,Kaveri Nagar,3 BHK,1900,3,3,155
Super built-up  Area,High grounds,3 BHK,1900,2,2,190
Built-up  Area,8th Phase JP Nagar,3 Bedroom,1900,4,1,90
Super built-up  Area,Kanakpura Road,3 BHK,1900,3,3,125
Super built-up  Area,Pattanagere,3 BHK,1900,3,0,65
Super built-up  Area,Sarjapur  Road,3 BHK,1900,4,1,180
Built-up  Area,Electronic City Phase II,4 Bedroom,1900,3,1,97
Super built-up  Area,Basaveshwara Nagar,3 BHK,1900,3,3,150
Super built-up  Area,Koramangala,3 BHK,1900,2,1,120
Built-up  Area,HRBR Layout,4 BHK,1900,3,1,90
Super built-up  Area,cooketown,3 BHK,1900,3,2,190
Plot  Area,Pillahalli,3 Bedroom,1900,2,0,92
Plot  Area,Ramamurthy Nagar,4 Bedroom,1900,4,2,185
Built-up  Area,9th Phase JP Nagar,4 Bedroom,1900,4,2,80
Plot  Area,RMC YARD,7 Bedroom,1900,3,0,162
Super built-up  Area,Kaval Byrasandra,3 BHK,1900,2,2,65
Built-up  Area,1st Phase JP Nagar,4 Bedroom,1900,3,1,400
Super built-up  Area,Electronics City Phase 1,3 BHK,1900,3,2,85
Super built-up  Area,Dasarahalli,3 BHK,1901,3,2,119
Super built-up  Area,Kalena Agrahara,3 BHK,1902,3,2,89
Plot  Area,Banaswadi,5 Bedroom,1903,6,2,140
Super built-up  Area,"Jayanagar, ",3 BHK,1903,3,2,165
Built-up  Area,7th Block Jayanagar,3 BHK,1903,2,1,293
Super built-up  Area,Keshava Nagar,3 BHK,1904,3,1,150
Super built-up  Area,Hennur Road,3 BHK,1904,3,2,120
Super built-up  Area,Keshava Nagar,3 BHK,1904,3,3,155
Super built-up  Area,Hennur Road,3 BHK,1904,3,2,129
Built-up  Area,Gollarapalya Hosahalli,4 BHK,1905,3,0,86
Built-up  Area,Ambedkar Colony,3 BHK,1907,2,1,200
Super built-up  Area,Kogilu,3 BHK,1909,3,2,88
Super built-up  Area,Whitefield,3 BHK,1910,3,2,161
Super built-up  Area,Ambedkar Colony,3 BHK,1910,3,1,190
Super built-up  Area,Marathahalli,3 BHK,1910,3,3,119
Built-up  Area,Ramagondanahalli,3 BHK,1910,3,2,142
Super built-up  Area,Ramagondanahalli,3 BHK,1910,3,2,150
Super built-up  Area,Koramangala,3 BHK,1910,4,3,150
Super built-up  Area,Ramagondanahalli,3 BHK,1910,3,2,131
Super built-up  Area,Sahakara Nagar,3 BHK,1914,3,3,179
Super built-up  Area,Sahakara Nagar,3 BHK,1914,3,2,149
Super built-up  Area,Kasavanhalli,3 BHK,1915,3,3,80
Super built-up  Area,Hulimavu,3 BHK,1916,2,1,150
Super built-up  Area,Thanisandra,3 BHK,1917,3,3,122
Built-up  Area,Sarjapur,4 BHK,1917,3,0,60
Super built-up  Area,Thanisandra,3 BHK,1917,4,2,113
Super built-up  Area,Thanisandra,3 BHK,1917,4,2,100
Super built-up  Area,Kasavanhalli,3 BHK,1917,3,2,132
Super built-up  Area,Thanisandra,3 BHK,1917,3,2,110
Built-up  Area,Thanisandra,4 BHK,1917,4,2,130
Super built-up  Area,Iblur Village,3 BHK,1918,3,2,129
Built-up  Area,Kudlu Gate,3 BHK,1919,3,2,121
Super built-up  Area,Lavelle Road,3 BHK,1919,3,0,300
Super built-up  Area,Hosur Road,3 BHK,1919,3,2,117
Super built-up  Area,Hebbal,3 BHK,1920,3,2,134
Super built-up  Area,Haralur Road,3 BHK,1920,3,1,115
Super built-up  Area,Iblur Village,3 BHK,1920,3,2,130
Plot  Area,Kadugodi,4 Bedroom,1920,4,2,200
Built-up  Area,Budigere,3 BHK,1920,2,1,88
Super built-up  Area,Kundalahalli,3 BHK,1920,3,2,150
Super built-up  Area,Iblur Village,3 BHK,1920,3,2,150
Super built-up  Area,Iblur Village,3 BHK,1920,3,2,130
Super built-up  Area,Iblur Village,3 BHK,1920,3,2,150
Plot  Area,Whitefield,4 Bedroom,1920,5,2,250
Super built-up  Area,Ambedkar Nagar,3 BHK,1920,4,2,121
Super built-up  Area,Hebbal,3 BHK,1920,3,2,134
Super built-up  Area,Hebbal,3 BHK,1920,3,2,150
Super built-up  Area,Bannerghatta Road,3 BHK,1920,3,3,122
Super built-up  Area,Iblur Village,3 BHK,1920,3,2,130
Super built-up  Area,Ambedkar Nagar,3 BHK,1921,4,3,129
Super built-up  Area,Thanisandra,3 BHK,1922,3,3,106
Built-up  Area,Kasturi Nagar,3 BHK,1925,3,0,125
Super built-up  Area,Agara Village,3 BHK,1925,3,2,120
Super built-up  Area,Hosakerehalli,2 BHK,1925,2,1,50
Super built-up  Area,Hoodi,3 BHK,1925,2,3,114
Super built-up  Area,Hoodi,3 BHK,1925,3,3,110
Super built-up  Area,Sarjapur  Road,3 BHK,1929,4,1,103
Built-up  Area,"Sarjapur Road, ",3 BHK,1929,3,2,115
